iter	Logloss
0	0.6729633551
1	0.6557539708
2	0.6385565016
3	0.6231454227
4	0.6080586621
5	0.5938818295
6	0.5819777922
7	0.5711236583
8	0.5599836051
9	0.5501878248
10	0.5417944002
11	0.5335047262
12	0.5253017535
13	0.5182022781
14	0.5115628326
15	0.5051324903
16	0.4986739367
17	0.4924739208
18	0.4870269699
19	0.4817547981
20	0.477025457
21	0.470149675
22	0.4658472074
23	0.4620054329
24	0.4544447423
25	0.4507177844
26	0.4467387482
27	0.4396618872
28	0.436775461
29	0.4324709808
30	0.4290226136
31	0.4262945891
32	0.4224521939
33	0.4166406153
34	0.4132610922
35	0.4114107718
36	0.4091443476
37	0.4000820093
38	0.3978986163
39	0.3925583438
40	0.3907417711
41	0.387991748
42	0.385715311
43	0.3839081232
44	0.3800149491
45	0.3767020708
46	0.3755274335
47	0.3719358433
48	0.3703918902
49	0.3667200939
50	0.3622104893
51	0.3606116524
52	0.3595302973
53	0.356341259
54	0.3503814913
55	0.3495374087
56	0.3476107935
57	0.3453853178
58	0.3445032425
59	0.3424864963
60	0.3405136726
61	0.3380111504
62	0.337293946
63	0.3332730107
64	0.3320265537
65	0.3311540643
66	0.3306138422
67	0.3288962435
68	0.3275163374
69	0.3259178273
70	0.3236037181
71	0.3231068069
72	0.3223298301
73	0.3214352835
74	0.3203674375
75	0.3188079297
76	0.3173709922
77	0.3165514738
78	0.3156417286
79	0.3150785126
80	0.314275228
81	0.313731035
82	0.3133437868
83	0.3110485524
84	0.3107409596
85	0.3104059421
86	0.3098612882
87	0.3088746027
88	0.3079034696
89	0.3069687043
90	0.305731606
91	0.304449066
92	0.304104183
93	0.3038169772
94	0.3033645607
95	0.3031007841
96	0.3024032305
97	0.3017865304
98	0.3013016202
99	0.3002016624
100	0.2997788522
101	0.2990311713
102	0.2984742387
103	0.2981379617
104	0.2975924447
105	0.2971158995
106	0.2966189899
107	0.2961170412
108	0.2951410474
109	0.2943634155
110	0.2934555342
111	0.2914437481
112	0.2910242062
113	0.2899560169
114	0.2897610363
115	0.2892344937
116	0.2890287045
117	0.2877407193
118	0.2875251258
119	0.286258002
120	0.2860186516
121	0.2857710052
122	0.2851905098
123	0.2847286395
124	0.2841417191
125	0.2839069418
126	0.283424131
127	0.2823116145
128	0.2814024915
129	0.2811916397
130	0.2805312905
131	0.2799624334
132	0.2797937006
133	0.2793429964
134	0.278744337
135	0.2784205906
136	0.2782060241
137	0.2776183637
138	0.2772217177
139	0.2766537933
140	0.2762990536
141	0.2761468333
142	0.275923461
143	0.2757598371
144	0.2755929541
145	0.2751121725
146	0.274918831
147	0.274523836
148	0.274178383
149	0.2740158715
150	0.2738314001
151	0.2734064098
152	0.2731793139
153	0.2729052731
154	0.2724929321
155	0.2720646427
156	0.2719473947
157	0.2716284333
158	0.2710156922
159	0.2708799129
160	0.2698377423
161	0.2687221566
162	0.2682915217
163	0.2681865403
164	0.2677591069
165	0.2671490896
166	0.2670244327
167	0.2668549248
168	0.2667577947
169	0.2666591919
170	0.2658166149
171	0.2656939692
172	0.2654144197
173	0.2651209659
174	0.2647750126
175	0.2646558525
176	0.2645659872
177	0.2644443372
178	0.2643582796
179	0.2639634355
180	0.2637980443
181	0.2636754732
182	0.263576821
183	0.263384133
184	0.2630619103
185	0.2627947342
186	0.2627239429
187	0.2626477271
188	0.262510882
189	0.262425774
190	0.2623107796
191	0.262198774
192	0.2619720959
193	0.2618510192
194	0.2617342394
195	0.2616279153
196	0.2615484203
197	0.2612181909
198	0.2609742331
199	0.2608699094
200	0.260788434
201	0.260635082
202	0.2604311782
203	0.2601898777
204	0.260015955
205	0.2599442629
206	0.2596414102
207	0.2595446097
208	0.2594544974
209	0.2593539858
210	0.2592155701
211	0.2585704196
212	0.2584834351
213	0.2583487756
214	0.2582865549
215	0.2582120378
216	0.2581396091
217	0.2580240154
218	0.2578352519
219	0.257712642
220	0.2575902955
