iter	Passed	Remaining
0	434	868814
1	568	568405
2	674	448912
3	786	392671
4	897	358277
5	1022	339718
6	1124	320167
7	1213	302191
8	1319	291973
9	1441	286759
10	1598	289125
11	1729	286558
12	1878	287145
13	2013	285586
14	2125	281226
15	2227	276186
16	2349	274053
17	2481	273292
18	2638	275127
19	2753	272588
20	2893	272649
21	3005	270201
22	3141	269999
23	3270	269238
24	3412	269575
25	3525	267686
26	3642	266165
27	3763	265040
28	3909	265719
29	4040	265339
30	4141	263077
31	4252	261535
32	4362	260018
33	4464	258146
34	4576	256949
35	4737	258472
36	4882	259022
37	5007	258555
38	5135	258200
39	5252	257394
40	5353	255804
41	5456	254374
42	5596	254688
43	5746	255437
44	5892	256003
45	6002	254962
46	6088	252985
47	6209	252529
48	6317	251535
49	6433	250895
50	6541	249991
51	6715	251569
52	6826	250772
53	6959	250807
54	7064	249838
55	7182	249333
56	7290	248516
57	7434	248928
58	7567	248960
59	7714	249448
60	7892	250873
61	8017	250615
62	8139	250255
63	8351	252628
64	8470	252174
65	8599	251991
66	8854	255455
67	9045	256999
68	9178	256852
69	9320	256991
70	9445	256618
71	9565	256155
72	9867	260477
73	9984	259865
74	10107	259437
75	10218	258697
76	10337	258179
77	10498	258682
78	10615	258125
79	10752	258057
80	10901	258280
81	11005	257425
82	11114	256700
83	11256	256750
84	11378	256343
85	11491	255747
86	11617	255446
87	11769	255715
88	11890	255314
89	12009	254858
90	12161	255117
91	12263	254340
92	12359	253429
93	12509	253643
94	12664	253956
95	12800	253866
96	12941	253892
97	13075	253774
98	13250	254441
99	13398	254573
100	13521	254239
101	13688	254706
102	13825	254639
103	13932	253994
104	14070	253930
105	14200	253728
106	14329	253515
107	14453	253198
108	14555	252514
109	14665	251981
110	14800	251879
111	14902	251205
112	15006	250590
113	15134	250375
114	15253	250029
115	15370	249636
116	15465	248902
117	15572	248373
118	15723	248535
119	15824	247914
120	15936	247475
121	16078	247497
122	16188	247045
123	16306	246703
124	16437	246557
125	16534	245912
126	16630	245267
127	16751	244984
128	16887	244932
129	16994	244460
130	17112	244140
131	17214	243609
132	17327	243234
133	17449	242996
134	17546	242401
135	17660	242057
136	17802	242083
137	17904	241584
138	18004	241046
139	18135	240939
140	18238	240466
141	18363	240272
142	18480	239982
143	18600	239740
144	18741	239761
145	18852	239399
146	18962	239034
